UPC|SKU|DESCRIPCION_LARGA|SUBCLASE-CONJUNTO|DESC_SUBCLASE-DESC_CONJUNTO|MARCA|MODELO|NRO_LOCAL|LOCAL|LUNES_08-09|MARTES_09-09|MIERCOLES_10-09|JUEVES_11-09|VIERNES_12-09|SABADO_13-09|DOMINGO_14-09|VENTA_UNIDADES|VENTA_SOLES|STOCK_CONTABLE|OC_PENDIENTE|TRF_POR_RECIBIR|TRF_ENVIADAS
7750497880045|4296990        |PTA INT DECOR BL RT 80CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||29|Sodimac Canete|0|0|0|0|0|0|0|0|0|4|0|0|0
7750497880052|4297008        |PTA INT DECOR BL RT 85CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||4|Sodimac Cono Norte|0|0|0|1|0|0|0|1|108|7|0|0|0
7750497880052|4297008        |PTA INT DECOR BL RT 85CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||23|Sodimac Chimbote|0|0|0|0|0|0|0|0|0|4|0|0|0
7750497880014|4297032        |PTA INT DECOR BL RT 65CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||54|Maestro Ica|0|0|0|0|0|0|0|0|0|19|0|0|0
7750497880076|4297091        |COM INT OPERA BL 70MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||29|Sodimac Canete|0|0|0|0|0|0|0|0|0|6|0|0|0
7750497880076|4297091        |COM INT OPERA BL 70MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||66|Sodimac Chincha|1|0|0|0|0|1|0|2|230|6|0|6|0
7750497880069|4297113        |COM INT OPERA BL 65MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||41|Maestro Naranjal|0|0|0|0|0|0|1|1|190|10|0|0|0
7750497880038|429713X        |PTA INT DECOR BL RT 75CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||8|Sodimac La Victoria|0|0|0|1|3|0|0|4|630|5|0|0|0
7750497880038|429713X        |PTA INT DECOR BL RT 75CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||76|Sodimac Huancayo|0|0|0|0|0|0|0|0|0|8|0|0|0
7750497880199|429730X        |MCO PINO NAT 32X60X213|0328010701     |MARCOS SIN ACABAR|PAMA                ||35|Sodimac Chacarilla|0|0|0|0|0|1|0|1|63|9|0|0|0
7750497880243|4299884        |PTA EXT IMPERIAL 20 PIN 95CM|0328010301     |PINO RADIATA|PAMA                ||33|Sodimac Comas|0|0|0|0|0|0|0|0|0|5|0|0|0
7750497880311|4299973        |PTA EXT CALIFORNIA BL PIN 85CM|0328010301     |PINO RADIATA|PAMA                ||63|Sodimac Comas Trapiche|0|0|1|0|0|0|0|1|555|4|0|0|0
7750497880397|4312295        |MCO PINO NAT 32X135X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||18|Sodimac Bellavista|0|0|0|0|0|0|0|0|0|5|0|0|0
7750497880373|4312317        |MCO PINO NAT 32X90X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||57|Sodimac Cerro Colorado|0|0|0|0|0|0|0|0|0|6|0|0|0
7750497880373|4312317        |MCO PINO NAT 32X90X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||64|Maestro Cajamarca|0|0|0|0|0|0|0|0|0|6|0|0|0
7750497880205|4312325        |MCO PINO NAT 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||38|Maestro Chorrillos|0|0|0|0|0|0|0|0|0|7|0|0|0
