UPC|SKU|DESCRIPCION_LARGA|SUBCLASE-CONJUNTO|DESC_SUBCLASE-DESC_CONJUNTO|MARCA|MODELO|NRO_LOCAL|LOCAL|LUNES_06-10|MARTES_07-10|MIERCOLES_08-10|JUEVES_09-10|VIERNES_10-10|SABADO_11-10|DOMINGO_12-10|VENTA_UNIDADES|VENTA_SOLES|STOCK_CONTABLE|OC_PENDIENTE|TRF_POR_RECIBIR|TRF_ENVIADAS
7750497880939|4364252        |PTA MARKET CH40X850X2070|0328010104     |PUERTAS INTERIOR RUTEADAS|PAMA                ||59|Maestro Tacna|0|1|0|0|0|0|0|1|170|10|0|0|0
7750497880045|4296990        |PTA INT DECOR BL RT 80CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||11|Sodimac Trujillo|0|0|0|0|0|0|0|0|0|5|0|0|0
7750497880045|4296990        |PTA INT DECOR BL RT 80CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||66|Sodimac Chincha|0|1|0|0|0|0|0|1|170|5|0|0|0
7750497880052|4297008        |PTA INT DECOR BL RT 85CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||11|Sodimac Trujillo|0|1|0|0|0|4|0|5|949|1|0|0|0
7750497880052|4297008        |PTA INT DECOR BL RT 85CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||18|Sodimac Bellavista|0|0|0|0|0|0|0|0|0|6|0|0|0
7750497880052|4297008        |PTA INT DECOR BL RT 85CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||23|Sodimac Chimbote|0|0|0|0|0|0|0|0|0|4|0|0|0
7750497880014|4297032        |PTA INT DECOR BL RT 65CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||40|Maestro Arequipa|0|0|0|0|0|0|0|0|0|2|0|0|0
7750497880014|4297032        |PTA INT DECOR BL RT 65CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||54|Maestro Ica|0|0|0|0|0|0|0|0|0|19|0|0|0
7750497880083|4297059        |COM INT OPERA BL 75MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||4|Sodimac Cono Norte|0|0|0|0|0|0|1|1|231|18|0|0|0
7750497880083|4297059        |COM INT OPERA BL 75MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||22|Sodimac Puruchuco|0|0|0|0|0|0|0|0|0|15|0|0|0
7750497880083|4297059        |COM INT OPERA BL 75MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||31|Sodimac Sullana|0|0|0|0|0|0|0|0|0|8|0|0|0
7750497880083|4297059        |COM INT OPERA BL 75MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||49|Sodimac Cuzco|0|0|0|0|0|2|0|2|470|4|0|0|0
7750497880021|4297156        |PTA INT DECOR BL RT 70CM|0102010104     |PUERTAS INTERIOR RUTEADAS|PAMA                ||57|Sodimac Cerro Colorado|0|0|0|0|0|0|0|0|0|8|0|0|0
7750497880199|429730X        |MCO PINO NAT 32X60X213|0328010701     |MARCOS SIN ACABAR|PAMA                ||31|Sodimac Sullana|0|0|1|1|0|0|1|3|225|34|0|0|0
7750497880212|4312260        |MCO PINO NAT 32X60X2740MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||40|Maestro Arequipa|0|0|0|0|0|0|0|0|0|60|0|0|0
7750497880397|4312295        |MCO PINO NAT 32X135X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||18|Sodimac Bellavista|0|0|0|0|0|0|0|0|0|5|0|0|0
7750497880397|4312295        |MCO PINO NAT 32X135X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||44|Sodimac Plaza Norte|0|0|0|0|0|0|0|0|0|4|0|0|0
7750497880397|4312295        |MCO PINO NAT 32X135X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||76|Sodimac Huancayo|0|0|2|0|0|0|0|2|550|9|0|0|0
7750497880373|4312317        |MCO PINO NAT 32X90X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||64|Maestro Cajamarca|0|0|0|0|0|0|0|0|0|6|0|0|0
7750497880205|4312325        |MCO PINO NAT 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||14|Sodimac Jockey Plaza|0|0|0|0|0|1|0|1|77|5|0|0|0
7750497880205|4312325        |MCO PINO NAT 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||44|Sodimac Plaza Norte|1|0|0|0|1|0|0|2|142|5|0|0|0
7750497880458|4330811        |COM INT OPERA 90 MCO BIS|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||12|Sodimac Chiclayo|0|0|0|0|0|0|0|0|0|4|0|0|0
7750497880458|4330811        |COM INT OPERA 90 MCO BIS|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||54|Maestro Ica|0|0|0|0|0|0|0|0|0|13|0|0|0
7750497880892|4362381        |SBL PTA RT ITALO 75|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||21|Sodimac Arequipa|0|0|0|0|0|0|0|0|0|2|0|0|0
7750497880922|4364244        |PTA MARKET CH40X750X2070|0328010104     |PUERTAS INTERIOR RUTEADAS|PAMA                ||22|Sodimac Puruchuco|0|0|0|0|0|0|0|0|0|7|0|0|0
7750497880601|4364554        |PTA INT ARIZONA 90|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||46|Sodimac Chiclayo III|0|0|0|0|0|0|0|0|0|6|0|0|0
7750497880687|4364627        |PTA AC MADRID CED 65|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||17|Sodimac Trujillo Open P|0|0|0|0|0|0|0|0|0|8|0|0|0
7750497880687|4364627        |PTA AC MADRID CED 65|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||26|Sodimac S. J. Lurigancho|0|0|0|0|0|0|0|0|0|9|0|0|0
7750497880694|4364635        |PTA AC MADRID CED 70|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||23|Sodimac Chimbote|0|0|0|0|0|0|0|0|0|6|0|0|0
7750497880724|4364643        |PTA AC MADRID CED 85|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||10|Sodimac Lima Centro|0|0|0|0|0|0|0|0|0|2|0|0|0
7750497880717|436466X        |PTA AC MADRID CED 80|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||23|Sodimac Chimbote|0|0|0|0|0|0|0|0|0|3|0|0|0
7750497880632|4364708        |COM SANT 70MCO BI PF|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||20|Sodimac Piura|0|0|0|0|0|0|0|0|0|4|0|0|0
7750497880618|4364724        |COM SANT 60MCO BI PF|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||66|Sodimac Chincha|0|0|0|0|0|0|0|0|0|8|0|0|0
7750497880502|4364775        |PTA INT CHICAGO 70|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||5|Sodimac Primavera|0|0|0|0|0|0|0|0|0|7|0|0|0
7750497880502|4364775        |PTA INT CHICAGO 70|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||21|Sodimac Arequipa|0|0|0|0|0|0|0|0|0|5|0|0|0
7750497880489|4364872        |PTA INT CHICAGO 60|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||42|Sodimac Colonial|0|1|0|0|0|0|0|1|120|1|8|0|0
7750497880748|4364899        |PTA AC MOSEL BG 65|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||21|Sodimac Arequipa|0|0|0|1|0|0|0|1|210|10|0|0|0
7750497880786|4364929        |PTA AC MOSEL BG 85|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||11|Sodimac Trujillo|0|0|2|0|0|0|0|2|510|8|0|0|0
7750497880052|4297008        |PTA INT DECOR BL RT 85CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||38|Maestro Chorrillos|0|0|0|0|0|0|0|0|0|6|0|0|0
7750497880083|4297059        |COM INT OPERA BL 75MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||6|Sodimac Atocongo|0|1|1|0|0|0|2|4|865|12|8|0|0
7750497880076|4297091        |COM INT OPERA BL 70MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||54|Maestro Ica|0|0|0|0|0|0|0|0|0|13|0|0|0
7750497880069|4297113        |COM INT OPERA BL 65MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||23|Sodimac Chimbote|0|0|1|0|0|4|0|5|977|9|0|0|0
7750497880069|4297113        |COM INT OPERA BL 65MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||63|Sodimac Comas Trapiche|0|0|0|0|0|0|0|0|0|9|0|0|0
7750497880038|429713X        |PTA INT DECOR BL RT 75CM|0102010104     |PUERTAS INTERIOR RUTEADAS|PAMA                ||45|Sodimac Piura 26 de Octubre|0|0|0|0|0|0|0|0|0|9|0|0|0
7750497880106|4297148        |COM INT OPERA BL 85MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||47|Sodimac Trujillo America Sur|0|3|0|0|0|0|0|3|748|4|0|0|0
7750497880021|4297156        |PTA INT DECOR BL RT 70CM|0102010104     |PUERTAS INTERIOR RUTEADAS|PAMA                ||59|Maestro Tacna|0|0|0|0|1|0|0|1|165|8|0|0|0
7750497880199|429730X        |MCO PINO NAT 32X60X213|0328010701     |MARCOS SIN ACABAR|PAMA                ||39|Sodimac Av. La Molina|1|1|2|1|5|2|0|12|722|55|24|0|0
7750497880236|4299876        |PTA EXT IMPERIAL 20 PIN 85CM|0328010301     |PINO RADIATA|PAMA                ||8|Sodimac La Victoria|0|0|0|0|0|0|0|0|0|2|0|0|0
7750497880366|4312279        |MCO PINO NAT 32X90X2130MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||40|Maestro Arequipa|0|0|0|0|0|0|0|0|0|9|0|0|0
7750497880397|4312295        |MCO PINO NAT 32X135X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||46|Sodimac Chiclayo III|0|0|0|0|0|0|0|0|0|5|0|0|0
7750497880397|4312295        |MCO PINO NAT 32X135X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||75|Sodimac Ventanilla|0|0|0|0|0|0|0|0|0|10|0|0|0
7750497880403|4312309        |MCO PINO BLANCO 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||5|Sodimac Primavera|1|1|1|0|0|0|2|5|392|16|0|0|0
7750497880205|4312325        |MCO PINO NAT 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||12|Sodimac Chiclayo|0|2|6|0|0|3|0|11|850|19|0|0|0
7750497880205|4312325        |MCO PINO NAT 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||67|Sodimac Puente Piedra|0|0|0|0|0|0|0|0|0|5|0|0|0
7750497880441|4330803        |COM INT OPERA 60 MCO BIS|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||63|Sodimac Comas Trapiche|0|0|0|0|0|0|0|0|0|9|0|0|0
7750497880885|4362373        |SBL PTA RT ITALO 65|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||66|Sodimac Chincha|0|0|0|0|0|0|0|0|0|2|0|0|0
7750497880892|4362381        |SBL PTA RT ITALO 75|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||29|Sodimac Canete|0|0|0|0|0|1|0|1|100|5|0|0|0
7750497880908|436239X        |SBL PTA RT ITALO 85|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||16|Sodimac Ica Mall|0|0|0|0|0|0|0|0|0|1|0|0|0
7750497880915|4364236        |PTA MARKET CH40X650X2070|0102010104     |PUERTAS INTERIOR RUTEADAS|PAMA                ||575|VENTA  A DISTANCIA SODIMAC|1|0|0|0|1|0|0|2|220|0|0|0|0
7750497880564|4364538        |PTA INT ARIZONA 70|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||39|Sodimac Av. La Molina|0|0|0|0|0|0|0|0|0|5|0|0|0
7750497880595|4364546        |PTA INT ARIZONA 85|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||28|Sodimac Pucallpa|0|0|0|0|0|0|0|0|0|8|0|0|0
7750497880540|4364562        |PTA INT ARIZONA 60|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||47|Sodimac Trujillo America Sur|0|1|0|0|0|0|1|2|204|5|0|0|0
7750497880526|4364600        |PTA INT CHICAGO 80|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||5|Sodimac Primavera|1|0|0|0|0|0|0|1|160|5|0|0|0
7750497880700|4364651        |PTA AC MADRID CED 75|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||46|Sodimac Chiclayo III|0|0|0|0|0|0|0|0|0|13|0|0|0
7750497880731|4364694        |PTA AC MADRID CED 90|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||6|Sodimac Atocongo|0|0|0|0|2|0|0|2|490|6|0|0|0
7750497880649|4364716        |COM SANT 75MCO BI PF|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||36|Maestro Surquillo|0|0|0|0|0|1|0|1|211|8|0|0|0
7750497880755|4364767        |PTA AC MOSEL BG 70|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||12|Sodimac Chiclayo|0|0|0|0|0|3|0|3|630|3|0|0|0
7750497880489|4364872        |PTA INT CHICAGO 60|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||67|Sodimac Puente Piedra|0|0|0|0|0|0|0|0|0|8|0|0|0
7750497881172|4405102        |PUERTA INT HDF BLANC MIOT 85CM|0102010104     |PUERTAS INTERIOR RUTEADAS|PAMA                ||75|Sodimac Ventanilla|0|0|0|0|0|0|0|0|0|7|0|0|0
