UPC|SKU|DESCRIPCION_LARGA|SUBCLASE-CONJUNTO|DESC_SUBCLASE-DESC_CONJUNTO|MARCA|MODELO|NRO_LOCAL|LOCAL|LUNES_05-01|MARTES_06-01|MIERCOLES_07-01|JUEVES_08-01|VIERNES_09-01|SABADO_10-01|DOMINGO_11-01|VENTA_UNIDADES|VENTA_SOLES|STOCK_CONTABLE|OC_PENDIENTE|TRF_POR_RECIBIR|TRF_ENVIADAS
7750497880632|4364708        |COM SANT 70MCO BI PF|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||11|Sodimac Trujillo|0|0|0|0|0|1|2|3|645|3|0|0|0
7750497880618|4364724        |COM SANT 60MCO BI PF|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||4|Sodimac Cono Norte|0|0|0|1|0|2|0|3|570|5|0|0|0
7750497880618|4364724        |COM SANT 60MCO BI PF|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||46|Sodimac Chiclayo III|0|1|0|0|0|0|0|1|200|11|0|0|0
7750497880762|4364783        |PTA AC MOSEL BG 75|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||11|Sodimac Trujillo|0|0|1|0|0|0|0|1|215|6|0|0|0
7750497880762|4364783        |PTA AC MOSEL BG 75|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||36|Maestro Surquillo|0|0|0|0|0|0|0|0|0|4|0|0|0
7750497880762|4364783        |PTA AC MOSEL BG 75|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||64|Sodimac Cajamarca Camino Inca|0|1|0|0|0|0|0|1|220|5|0|0|0
7750497880571|436483X        |PTA INT ARIZONA 75|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||28|Sodimac Pucallpa|0|1|0|0|0|0|0|1|145|7|0|0|0
7750497880793|4364848        |PTA AC MOSEL BG 90|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||49|Sodimac Cuzco|0|0|0|0|0|0|1|1|128|3|0|0|0
7750497880786|4364929        |PTA AC MOSEL BG 85|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||6|Sodimac Atocongo|0|0|0|0|0|0|0|0|0|8|0|0|0
7750497881158|4405110        |PUERTA INT HDF BLANC MIOT 65CM|0102010104     |PUERTAS INTERIOR RUTEADAS|PAMA                ||40|Maestro Arequipa|0|1|0|0|0|0|0|1|87|4|0|0|0
7750497880045|4296990        |PTA INT DECOR BL RT 80CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||11|Sodimac Trujillo|0|0|0|0|0|0|0|0|0|4|0|0|0
7750497880045|4296990        |PTA INT DECOR BL RT 80CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||36|Maestro Surquillo|0|0|0|0|0|0|0|0|0|7|0|0|0
7750497880052|4297008        |PTA INT DECOR BL RT 85CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||46|Sodimac Chiclayo III|0|0|0|0|0|1|0|1|190|7|0|0|0
7750497880175|4297016        |COM INT SELVA BL 80 MCO|0102010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||26|Sodimac S. J. Lurigancho|0|0|0|0|0|0|0|0|0|2|6|0|0
7750497880014|4297032        |PTA INT DECOR BL RT 65CM|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||10|Sodimac Lima Centro|0|0|0|0|0|0|0|0|0|10|0|0|0
7750497880076|4297091        |COM INT OPERA BL 70MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||39|Sodimac Av. La Molina|0|0|0|0|0|0|0|0|0|11|0|0|0
7750497880076|4297091        |COM INT OPERA BL 70MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||65|Maestro Sullana|0|0|0|0|0|0|0|0|0|2|0|0|0
7750497880069|4297113        |COM INT OPERA BL 65MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||21|Sodimac Arequipa|0|0|0|0|2|0|0|2|400|7|0|0|0
7750497880069|4297113        |COM INT OPERA BL 65MCO BIS|0328010204     |PUERTA LISTA INT RUTEADAS|PAMA                ||38|Maestro Chorrillos|0|0|0|0|0|0|0|0|0|13|0|0|0
7750497880021|4297156        |PTA INT DECOR BL RT 70CM|0102010104     |PUERTAS INTERIOR RUTEADAS|PAMA                ||18|Sodimac Bellavista|0|0|0|0|0|0|1|1|145|7|0|0|0
7750497880120|429727X        |PTA EXT POLONIA 45X950X2070MM|0328010301     |PINO RADIATA|PAMA                ||22|Sodimac Puruchuco|0|0|0|0|0|0|0|0|0|3|0|0|0
7750497880199|429730X        |MCO PINO NAT 32X60X213|0328010701     |MARCOS SIN ACABAR|PAMA                ||17|Sodimac Trujillo Open P|0|0|0|0|0|0|1|1|75|8|0|0|0
7750497880236|4299876        |PTA EXT IMPERIAL 20 PIN 85CM|0328010301     |PINO RADIATA|PAMA                ||15|Sodimac Canta Callao|0|0|0|0|0|0|0|0|0|4|0|0|0
7750497880243|4299884        |PTA EXT IMPERIAL 20 PIN 95CM|0328010301     |PINO RADIATA|PAMA                ||37|Maestro Pueblo Libre|0|0|0|0|0|0|0|0|0|2|0|0|0
7750497880397|4312295        |MCO PINO NAT 32X135X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||30|Sodimac Villa El Salvador|0|0|0|0|1|0|0|1|260|2|0|0|0
7750497880403|4312309        |MCO PINO BLANCO 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||10|Sodimac Lima Centro|0|1|0|0|0|0|0|1|80|35|0|0|0
7750497880403|4312309        |MCO PINO BLANCO 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||63|Sodimac Comas Trapiche|0|1|0|0|0|0|0|1|80|43|0|0|0
7750497880205|4312325        |MCO PINO NAT 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||62|Maestro Barrios Alto|0|0|0|0|0|0|1|1|77|9|0|0|0
7750497880205|4312325        |MCO PINO NAT 32X60X2440MM|0328010701     |MARCOS SIN ACABAR|PAMA                ||67|Sodimac Puente Piedra|0|0|0|0|0|0|0|0|0|5|0|0|0
7750497880458|4330811        |COM INT OPERA 90 MCO BIS|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||69|Maestro Huacho|0|0|0|0|0|0|0|0|0|6|0|0|0
7750497880908|436239X        |SBL PTA RT ITALO 85|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||16|Sodimac Ica Mall|0|0|0|0|0|0|0|0|0|1|0|0|0
7750497880595|4364546        |PTA INT ARIZONA 85|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||11|Sodimac Trujillo|0|2|0|0|0|0|0|2|320|9|0|0|0
7750497880595|4364546        |PTA INT ARIZONA 85|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||21|Sodimac Arequipa|1|0|1|0|1|0|0|3|480|3|0|0|0
7750497880526|4364600        |PTA INT CHICAGO 80|0328010101     |PUERTAS INTERIOR ECONOMICA|PAMA                ||46|Sodimac Chiclayo III|0|0|0|0|0|0|0|0|0|1|0|0|0
7750497880694|4364635        |PTA AC MADRID CED 70|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||64|Sodimac Cajamarca Camino Inca|0|0|0|3|0|0|0|3|540|3|0|0|0
7750497880618|4364724        |COM SANT 60MCO BI PF|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||66|Sodimac Chincha|0|0|0|0|0|0|0|0|0|8|0|0|0
7750497880625|4364740        |COM SANT 65MCO BI PF|0328010201     |PUERTA LISTA INT ECONOMICA|PAMA                ||57|Sodimac Cerro Colorado|0|0|0|0|0|0|0|0|0|1|0|0|0
7750497880762|4364783        |PTA AC MOSEL BG 75|0328010105     |PUERTAS INTERIOR MOLDEADA ACABADA|PAMA                ||49|Sodimac Cuzco|0|0|0|2|0|0|0|2|407|9|0|0|0
