tipo;denominacion;orden;estado;codigo;tipo_nombre;updated_at;cod_contable
CODIGOBYS;Harina, polvo y "pellets" de pescado, crustáceos,   moluscos y demás invertebrados acuáticos;7;A;17;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Arrendamiento de bienes;8;A;19;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Mantenimiento y reparación de bienes muebles;9;A;20;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Movimiento de carga;10;A;21;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Otros Servicios Empresariales;11;A;22;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Comisión mercantil;12;A;24;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Fabricación de bienes por encargo;13;A;25;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Servicio de transporte de personas;14;A;26;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Transporte de carga;15;A;27;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Contratos   de Construcción;16;A;30;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Oro gravado con el IGV;17;A;31;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Minerales metálicos no auríferos;18;A;34;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Bienes exonerados del IGV;19;A;35;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Oro y demás minerales metálicos exonerados del IGV;20;A;36;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Demás servicios gravados con el IGV;21;A;37;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
CODIGOBYS;Minerales no metálicos;22;A;39;COD. BIENES Y SERVICIOS - DETRACCIÓN;16/03/2020 14:27;
G_DOC_RELA;;1;A;;;16/03/2020 14:27;
G_DOC_RELA;NUMERACION DAM;2;A;1;DOCUMENTOS RELACIONADOS DE GUIA;16/03/2020 14:27;
G_DOC_RELA;NUMERO DE ORDEN DE ENTREGA;3;A;2;DOCUMENTOS RELACIONADOS DE GUIA;16/03/2020 14:27;
G_DOC_RELA;NUMERO SCOP;4;A;3;DOCUMENTOS RELACIONADOS DE GUIA;16/03/2020 14:27;
G_DOC_RELA;NUMERO DE MANIFIESTO DE CARGA;5;A;4;DOCUMENTOS RELACIONADOS DE GUIA;16/03/2020 14:27;
G_DOC_RELA;NUMERO DE CONSTANCIA DE DETRACCION;6;A;5;DOCUMENTOS RELACIONADOS DE GUIA;16/03/2020 14:27;
G_DOC_RELA;OTROS;7;A;6;DOCUMENTOS RELACIONADOS DE GUIA;16/03/2020 14:27;
MOTIVO_T;VENTA;1;A;1;MOTIVO DE TRASLADO;16/03/2020 14:27;
MOTIVO_T;VENTA SUJETA A CONFIRMACION DEL COMPRADOR;2;A;14;MOTIVO DE TRASLADO;16/03/2020 14:27;
MOTIVO_T;COMPRA;3;A;2;MOTIVO DE TRASLADO;16/03/2020 14:27;
MOTIVO_T;TRASLADO ENTRE ESTABLECIMIENTOS DE LA MISMA EMPRESA;4;A;4;MOTIVO DE TRASLADO;16/03/2020 14:27;
MOTIVO_T;TRASLADO EMISOR ITINERANTE CP;5;A;18;MOTIVO DE TRASLADO;16/03/2020 14:27;
MOTIVO_T;IMPORTACION;6;A;8;MOTIVO DE TRASLADO;16/03/2020 14:27;
MOTIVO_T;EXPORTACION;7;A;9;MOTIVO DE TRASLADO;16/03/2020 14:27;
MOTIVO_T;TRASLADO A ZONA PRIMARIA;8;A;19;MOTIVO DE TRASLADO;16/03/2020 14:27;
MOTIVO_T;OTROS;9;A;13;MOTIVO DE TRASLADO;16/03/2020 14:27;
MODAL_T;TRANSPORTE PÚBLICO;1;A;1;MODALIDAD DE TRASLADO;16/03/2020 14:27;
MODAL_T;TRANSPORTE PRIVADO;2;A;2;MODALIDAD DE TRASLADO;16/03/2020 14:27;
UNIDADES;KILOGRAMO;2;A;KGM;UNIDAD;16/03/2020 14:27;
SERIES;F001;1;A;FT;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;F002;2;A;FT;SERIES DE FACTURACIÓN;16/03/2020 14:27;
